dateTime,close
2018-08-27 00-00-00,287.71000000
2018-08-28 00-00-00,295.44000000
2018-08-29 00-00-00,288.40000000
2018-08-30 00-00-00,283.89000000
2018-08-31 00-00-00,281.41000000
2018-09-01 00-00-00,295.71000000
2018-09-02 00-00-00,295.41000000
2018-09-03 00-00-00,289.09000000
2018-09-04 00-00-00,285.30000000
2018-09-05 00-00-00,228.53000000
2018-09-06 00-00-00,229.70000000
2018-09-07 00-00-00,215.22000000
2018-09-08 00-00-00,196.71000000
2018-09-09 00-00-00,195.81000000
2018-09-10 00-00-00,197.15000000
2018-09-11 00-00-00,185.18000000
2018-09-12 00-00-00,183.12000000
2018-09-13 00-00-00,210.68000000
2018-09-14 00-00-00,208.82000000
2018-09-15 00-00-00,221.29000000
2018-09-16 00-00-00,220.17000000
2018-09-17 00-00-00,196.16000000
2018-09-18 00-00-00,208.17000000
2018-09-19 00-00-00,209.79000000
2018-09-20 00-00-00,224.00000000
2018-09-21 00-00-00,247.73000000
2018-09-22 00-00-00,241.01000000
2018-09-23 00-00-00,244.50000000
2018-09-24 00-00-00,228.06000000
2018-09-25 00-00-00,219.62000000
2018-09-26 00-00-00,214.42000000
2018-09-27 00-00-00,229.13000000
2018-09-28 00-00-00,221.84000000
2018-09-29 00-00-00,231.62000000
2018-09-30 00-00-00,232.94000000
2018-10-01 00-00-00,231.61000000
2018-10-02 00-00-00,225.69000000
2018-10-03 00-00-00,220.77000000
2018-10-04 00-00-00,222.66000000
2018-10-05 00-00-00,228.37000000
2018-10-06 00-00-00,225.40000000
2018-10-07 00-00-00,226.14000000
2018-10-08 00-00-00,230.01000000
2018-10-09 00-00-00,228.40000000
2018-10-10 00-00-00,226.74000000
2018-10-11 00-00-00,191.58000000
2018-10-12 00-00-00,196.96000000
2018-10-13 00-00-00,201.30000000
2018-10-14 00-00-00,197.01000000
2018-10-15 00-00-00,214.39000000
2018-10-16 00-00-00,215.09000000
2018-10-17 00-00-00,212.85000000
2018-10-18 00-00-00,206.24000000
2018-10-19 00-00-00,205.00000000
2018-10-20 00-00-00,207.91000000
2018-10-21 00-00-00,207.49000000
2018-10-22 00-00-00,206.67000000
2018-10-23 00-00-00,205.85000000
2018-10-24 00-00-00,205.35000000
2018-10-25 00-00-00,203.93000000
2018-10-26 00-00-00,204.92000000
2018-10-27 00-00-00,204.45000000
2018-10-28 00-00-00,204.99000000
2018-10-29 00-00-00,196.96000000
2018-10-30 00-00-00,197.27000000
2018-10-31 00-00-00,198.73000000
2018-11-01 00-00-00,199.96000000
2018-11-02 00-00-00,202.35000000
2018-11-03 00-00-00,200.31000000
2018-11-04 00-00-00,212.11000000
2018-11-05 00-00-00,210.66000000
2018-11-06 00-00-00,220.74000000
2018-11-07 00-00-00,219.07000000
2018-11-08 00-00-00,212.79000000
2018-11-09 00-00-00,210.77000000
2018-11-10 00-00-00,213.25000000
2018-11-11 00-00-00,212.54000000
2018-11-12 00-00-00,212.89000000
2018-11-13 00-00-00,209.84000000
2018-11-14 00-00-00,187.43000000
2018-11-15 00-00-00,184.35000000
2018-11-16 00-00-00,176.89000000
2018-11-17 00-00-00,176.20000000
2018-11-18 00-00-00,178.97000000
2018-11-19 00-00-00,150.81000000
2018-11-20 00-00-00,133.82000000
2018-11-21 00-00-00,138.23000000
2018-11-22 00-00-00,126.63000000
2018-11-23 00-00-00,125.02000000
2018-11-24 00-00-00,114.89000000
2018-11-25 00-00-00,118.67000000
2018-11-26 00-00-00,110.68000000
2018-11-27 00-00-00,111.43000000
2018-11-28 00-00-00,122.90000000
2018-11-29 00-00-00,117.98000000
2018-11-30 00-00-00,113.73000000
2018-12-01 00-00-00,118.10000000
2018-12-02 00-00-00,116.57000000
2018-12-03 00-00-00,108.76000000
2018-12-04 00-00-00,109.94000000
2018-12-05 00-00-00,102.71000000
2018-12-06 00-00-00,91.00000000
2018-12-07 00-00-00,93.05000000
2018-12-08 00-00-00,90.38000000
2018-12-09 00-00-00,93.26000000
2018-12-10 00-00-00,89.91000000
