dateTime,close
2019-02-12 00-00-00,3631.46000000
2019-02-13 00-00-00,3609.40000000
2019-02-14 00-00-00,3590.56000000
2019-02-15 00-00-00,3602.47000000
2019-02-16 00-00-00,3618.41000000
2019-02-17 00-00-00,3667.58000000
2019-02-18 00-00-00,3898.60000000
2019-02-19 00-00-00,3907.79000000
2019-02-20 00-00-00,3969.74000000
2019-02-21 00-00-00,3937.31000000
2019-02-22 00-00-00,3962.00000000
2019-02-23 00-00-00,4117.76000000
2019-02-24 00-00-00,3743.56000000
2019-02-25 00-00-00,3827.92000000
2019-02-26 00-00-00,3809.23000000
2019-02-27 00-00-00,3818.07000000
2019-02-28 00-00-00,3813.69000000
2019-03-01 00-00-00,3823.00000000
2019-03-02 00-00-00,3819.93000000
2019-03-03 00-00-00,3807.75000000
2019-03-04 00-00-00,3715.30000000
2019-03-05 00-00-00,3857.73000000
2019-03-06 00-00-00,3861.84000000
2019-03-07 00-00-00,3873.64000000
2019-03-08 00-00-00,3864.89000000
2019-03-09 00-00-00,3943.04000000
2019-03-10 00-00-00,3916.82000000
2019-03-11 00-00-00,3871.61000000
2019-03-12 00-00-00,3882.73000000
2019-03-13 00-00-00,3866.00000000
2019-03-14 00-00-00,3877.12000000
2019-03-15 00-00-00,3923.76000000
2019-03-16 00-00-00,4005.98000000
2019-03-17 00-00-00,3981.14000000
2019-03-18 00-00-00,3987.81000000
2019-03-19 00-00-00,4015.53000000
2019-03-20 00-00-00,4043.04000000
2019-03-21 00-00-00,3980.64000000
2019-03-22 00-00-00,3986.93000000
2019-03-23 00-00-00,4006.01000000
2019-03-24 00-00-00,3992.18000000
2019-03-25 00-00-00,3936.12000000
2019-03-26 00-00-00,3948.55000000
2019-03-27 00-00-00,4038.05000000
2019-03-28 00-00-00,4027.81000000
2019-03-29 00-00-00,4103.25000000
2019-03-30 00-00-00,4106.97000000
2019-03-31 00-00-00,4103.95000000
2019-04-01 00-00-00,4144.56000000
2019-04-02 00-00-00,4857.29000000
2019-04-03 00-00-00,4932.60000000
2019-04-04 00-00-00,4898.66000000
2019-04-05 00-00-00,5004.95000000
2019-04-06 00-00-00,5043.89000000
2019-04-07 00-00-00,5170.27000000
2019-04-08 00-00-00,5236.90000000
2019-04-09 00-00-00,5150.00000000
2019-04-10 00-00-00,5308.25000000
2019-04-11 00-00-00,5017.37000000
2019-04-12 00-00-00,5048.01000000
2019-04-13 00-00-00,5045.22000000
2019-04-14 00-00-00,5131.30000000
2019-04-15 00-00-00,5024.95000000
2019-04-16 00-00-00,5173.72000000
2019-04-17 00-00-00,5202.82000000
2019-04-18 00-00-00,5258.44000000
2019-04-19 00-00-00,5258.68000000
2019-04-20 00-00-00,5291.73000000
2019-04-21 00-00-00,5256.14000000
2019-04-22 00-00-00,5357.14000000
2019-04-23 00-00-00,5493.31000000
2019-04-24 00-00-00,5415.00000000
2019-04-25 00-00-00,5219.90000000
2019-04-26 00-00-00,5314.10000000
2019-04-27 00-00-00,5295.69000000
2019-04-28 00-00-00,5307.52000000
2019-04-29 00-00-00,5238.14000000
2019-04-30 00-00-00,5320.81000000
2019-05-01 00-00-00,5383.20000000
2019-05-02 00-00-00,5492.87000000
2019-05-03 00-00-00,5772.69000000
2019-05-04 00-00-00,5829.45000000
2019-05-05 00-00-00,5775.62000000
2019-05-06 00-00-00,5747.79000000
2019-05-07 00-00-00,5846.34000000
2019-05-08 00-00-00,5987.29000000
2019-05-09 00-00-00,6209.18000000
2019-05-10 00-00-00,6373.33000000
2019-05-11 00-00-00,7076.22000000
2019-05-12 00-00-00,6967.31000000
2019-05-13 00-00-00,7790.71000000
2019-05-14 00-00-00,7947.56000000
2019-05-15 00-00-00,8169.87000000
2019-05-16 00-00-00,7866.59000000
2019-05-17 00-00-00,7355.26000000
2019-05-18 00-00-00,7257.45000000
2019-05-19 00-00-00,8148.48000000
2019-05-20 00-00-00,7938.15000000
2019-05-21 00-00-00,7904.87000000
2019-05-22 00-00-00,7628.43000000
2019-05-23 00-00-00,7851.51000000
2019-05-24 00-00-00,7964.87000000
2019-05-25 00-00-00,8025.41000000
2019-05-26 00-00-00,8614.43000000
2019-05-27 00-00-00,8756.32000000
2019-05-28 00-00-00,8715.64000000
2019-05-29 00-00-00,8645.68000000
2019-05-30 00-00-00,8269.54000000
2019-05-31 00-00-00,8555.00000000
2019-06-01 00-00-00,8544.07000000
2019-06-02 00-00-00,8725.98000000
2019-06-03 00-00-00,8115.82000000
2019-06-04 00-00-00,7687.03000000
2019-06-05 00-00-00,7776.50000000
2019-06-06 00-00-00,7786.70000000
2019-06-07 00-00-00,7980.53000000
2019-06-08 00-00-00,7893.62000000
2019-06-09 00-00-00,7628.13000000
2019-06-10 00-00-00,7982.75000000
2019-06-11 00-00-00,7884.90000000
2019-06-12 00-00-00,8127.64000000
2019-06-13 00-00-00,8218.54000000
2019-06-14 00-00-00,8650.00000000
2019-06-15 00-00-00,8808.70000000
2019-06-16 00-00-00,8953.33000000
2019-06-17 00-00-00,9313.96000000
2019-06-18 00-00-00,9081.55000000
2019-06-19 00-00-00,9255.49000000
2019-06-20 00-00-00,9517.12000000
2019-06-21 00-00-00,10159.86000000
2019-06-22 00-00-00,10729.50000000
2019-06-23 00-00-00,10906.07000000
2019-06-24 00-00-00,11056.59000000
2019-06-25 00-00-00,11820.86000000
2019-06-26 00-00-00,13093.80000000
2019-06-27 00-00-00,11329.99000000
2019-06-28 00-00-00,12400.63000000
2019-06-29 00-00-00,11903.13000000
2019-06-30 00-00-00,10854.10000000
2019-07-01 00-00-00,10624.93000000
2019-07-02 00-00-00,10842.85000000
2019-07-03 00-00-00,11940.00000000
2019-07-04 00-00-00,11145.67000000
2019-07-05 00-00-00,10970.73000000
2019-07-06 00-00-00,11256.49000000
2019-07-07 00-00-00,11406.24000000
2019-07-08 00-00-00,12238.60000000
2019-07-09 00-00-00,12543.41000000
2019-07-10 00-00-00,12108.37000000
2019-07-11 00-00-00,11342.89000000
2019-07-12 00-00-00,11757.22000000
2019-07-13 00-00-00,11355.76000000
2019-07-14 00-00-00,10174.18000000
2019-07-15 00-00-00,10838.72000000
